,A,h,time
29,218.57805776156331,-52.77410056885013,2022-05-12 19:58:59.907196
30,216.7887399741627,-53.40873333583163,2022-05-12 20:03:59.908197
31,214.94759852324484,-54.017095637171614,2022-05-12 20:08:59.908197
32,213.05427205011046,-54.59779854234056,2022-05-12 20:13:59.909509
33,211.10871762845906,-55.14942664367575,2022-05-12 20:18:59.909509
34,209.11125488063118,-55.6705475171416,2022-05-12 20:23:59.910510
35,207.06260914844015,-56.15972287311502,2022-05-12 20:28:59.910510
36,204.96395217999282,-56.61552155216403,2022-05-12 20:33:59.911533
37,202.81693813538925,-57.03653416540076,2022-05-12 20:38:59.911533
38,200.62373284877913,-57.42138936145694,2022-05-12 20:43:59.912511
39,198.38703385033313,-57.76877133199949,2022-05-12 20:48:59.912511
40,196.1100790093802,-58.07743833346608,2022-05-12 20:53:59.913510
41,193.7966415844805,-58.346241622371,2022-05-12 20:58:59.913510
42,191.45101018096847,-58.574144384704724,2022-05-12 21:03:59.914543
43,189.07795247812464,-58.76023988061488,2022-05-12 21:08:59.914543
44,186.68266266602257,-58.90376827486494,2022-05-12 21:13:59.915510
45,184.27069323381193,-59.004131321363,2022-05-12 21:18:59.915510
46,181.8478729797719,-59.06090441358851,2022-05-12 21:23:59.916518
47,179.42021386611313,-59.07384530198461,2022-05-12 21:28:59.916518
48,176.99381034026936,-59.04289921563268,2022-05-12 21:33:59.917510
49,174.57473515467169,-58.9681999864638,2022-05-12 21:38:59.917510
50,172.16893613181696,-58.85006727556083,2022-05-12 21:43:59.918511
51,169.78213812531638,-58.68899988164546,2022-05-12 21:48:59.918511
52,167.41975412834088,-58.48566561222465,2022-05-12 21:53:59.919907
53,165.08680871371266,-58.240888021423174,2022-05-12 21:58:59.919907
54,162.78787616706305,-57.955630796215445,2022-05-12 22:03:59.920908
55,160.52703464129132,-57.630980252841866,2022-05-12 22:08:59.920908
56,158.30783669497995,-57.26812681914197,2022-05-12 22:13:59.921919
57,156.13329567418313,-56.868345994056824,2022-05-12 22:18:59.921919
58,154.00588662990467,-56.43297955439311,2022-05-12 22:23:59.922926
59,151.92755995440294,-55.96341736971637,2022-05-12 22:28:59.922926
60,149.899765516721,-55.461080407997635,2022-05-12 22:33:59.923956
61,147.92348500770743,-54.92740509021033,2022-05-12 22:38:59.924907
62,145.99927015002345,-54.363829331861226,2022-05-12 22:43:59.924907
63,144.12728463366912,-53.77178032819591,2022-05-12 22:48:59.925906
64,142.30734789468178,-53.15266407324159,2022-05-12 22:53:59.925906
65,140.53897907046172,-52.50785669246815,2022-05-12 22:58:59.926906
66,138.82143991345598,-51.83869735343479,2022-05-12 23:03:59.926906
67,137.15377560193926,-51.1464827782132,2022-05-12 23:08:59.926906
68,135.53485281654963,-50.43246309112228,2022-05-12 23:13:59.927940
69,133.96339460912867,-49.69783889480442,2022-05-12 23:18:59.928907
70,132.43801181204526,-48.943759430484164,2022-05-12 23:23:59.929077
71,130.95723093601265,-48.171321635970024,2022-05-12 23:28:59.929077
72,129.51951861663738,-47.38156995228684,2022-05-12 23:33:59.930078
73,128.12330276571726,-46.5754967383795,2022-05-12 23:38:59.930078
74,126.76699059354158,-45.75404323257784,2022-05-12 23:43:59.931078
75,125.44898384586779,-44.91810083707459,2022-05-12 23:48:59.931078
76,124.16769141963128,-44.06851276992318,2022-05-12 23:53:59.932092
77,122.92153974837959,-43.20607586392562,2022-05-12 23:58:59.932092
78,121.70898111383976,-42.33154258541889,2022-05-13 00:03:59.933098
79,120.52850025885544,-41.4456230779631,2022-05-13 00:08:59.933098
80,119.37861942426059,-40.54898732348896,2022-05-13 00:13:59.934079
81,118.25790214354062,-39.64226725239764,2022-05-13 00:18:59.935077
82,117.16495590157004,-38.726058878708855,2022-05-13 00:23:59.935077
83,116.09843386887513,-37.80092439631177,2022-05-13 00:28:59.936079
84,115.05703590501392,-36.86739417812246,2022-05-13 00:33:59.936079
85,114.03950887194904,-35.925968768384024,2022-05-13 00:38:59.937098
86,113.04464649106013,-34.977120732622105,2022-05-13 00:43:59.937098
87,112.07128872265882,-34.0212964904701,2022-05-13 00:48:59.938134
88,111.11832087588672,-33.0589179972639,2022-05-13 00:53:59.938134
89,110.18467239710614,-32.09038440503171,2022-05-13 00:58:59.939378
90,109.2693155263032,-31.116073567366968,2022-05-13 01:03:59.939378
91,108.37126373641985,-30.13634353209667,2022-05-13 01:08:59.940378
92,107.48957013666686,-29.15153387895084,2022-05-13 01:13:59.940378
93,106.62332574461395,-28.161967040276856,2022-05-13 01:18:59.940378
94,105.77165775418462,-27.16794950556018,2022-05-13 01:23:59.941405
95,104.93372778087559,-26.169772956721882,2022-05-13 01:28:59.942398
96,104.10873008980161,-25.167715350883718,2022-05-13 01:33:59.942398
97,103.29588983454207,-24.16204194054955,2022-05-13 01:38:59.943435
98,102.49446135716985,-23.1530061953392,2022-05-13 01:43:59.943435
99,101.7037264650453,-22.140850724016495,2022-05-13 01:48:59.944378
100,100.92299280589008,-21.125808083130785,2022-05-13 01:53:59.944378
101,100.15159222924531,-20.10810159453073,2022-05-13 01:58:59.945378
102,99.38887925094895,-19.08794605960763,2022-05-13 02:03:59.945378
103,98.63422950852501,-18.065548489442,2022-05-13 02:08:59.946378
104,97.88703832331166,-17.041108737102906,2022-05-13 02:13:59.946378
105,97.146719253278,-16.014820153029422,2022-05-13 02:18:59.947378
106,96.4127027514976,-14.986870148871246,2022-05-13 02:23:59.947378
107,95.68443481350623,-13.957440789967894,2022-05-13 02:28:59.948378
108,94.96137572696834,-12.926709302146518,2022-05-13 02:33:59.948378
109,94.24299880610656,-11.89484861289288,2022-05-13 02:38:59.949572
110,93.52878922732219,-10.862027808570781,2022-05-13 02:43:59.949572
111,92.81824283898274,-9.828412636915122,2022-05-13 02:48:59.950573
112,92.11086507065464,-8.79416592673953,2022-05-13 02:53:59.950573
113,91.40616981505569,-7.759448053598854,2022-05-13 02:58:59.951575
114,90.70367839779284,-6.724417333185928,2022-05-13 03:03:59.951575
115,90.00291851818841,-5.689230461050501,2022-05-13 03:08:59.952578
116,89.30342327174513,-4.6540428845412505,2022-05-13 03:13:59.952578
117,88.60473013867595,-3.6190092246702217,2022-05-13 03:18:59.953573
118,87.90638004861565,-2.5842836338255917,2022-05-13 03:23:59.953573
119,87.20791640681585,-1.550020206545494,2022-05-13 03:28:59.954574
120,86.50888419127217,-0.5163733295833007,2022-05-13 03:33:59.954574
121,85.80882900658179,0.5165019114779315,2022-05-13 03:38:59.955616
122,85.10729620492648,1.5484493841759592,2022-05-13 03:43:59.955616
123,84.40382995838574,2.579311500080389,2022-05-13 03:48:59.956573
124,83.69797239064104,3.608928857641048,2022-05-13 03:53:59.957574
125,82.98926267925096,4.637139844876257,2022-05-13 03:58:59.957574
126,82.27723615952927,5.663780234263892,2022-05-13 04:03:59.958574
127,81.56142346526543,6.688682807223269,2022-05-13 04:08:59.958574
128,80.84134961663713,7.711676913537303,2022-05-13 04:13:59.959790
129,80.11653316567508,8.732588081862719,2022-05-13 04:18:59.959963
130,79.38648528003316,9.751237554413546,2022-05-13 04:23:59.960963
131,78.65070888118643,10.767441868134583,2022-05-13 04:28:59.960963
132,77.90869772688532,11.78101236364615,2022-05-13 04:33:59.961987
133,77.159935544583,12.791754734339003,2022-05-13 04:38:59.961987
134,76.40389511100551,13.799468500836634,2022-05-13 04:43:59.961987
135,75.64003736614508,14.803946502897775,2022-05-13 04:48:59.963037
136,74.867810528601,15.804974370080458,2022-05-13 04:53:59.963037
137,74.08664917817813,16.80232992932337,2022-05-13 04:58:59.964030
138,73.29597339494143,17.795782642051844,2022-05-13 05:03:59.964963
139,72.4951878725114,18.785092974872402,2022-05-13 05:08:59.964963
140,71.68368104912985,19.77001174407317,2022-05-13 05:13:59.965963
141,70.86082429256446,20.750279466266107,2022-05-13 05:18:59.965963
142,70.02597106393266,21.725625621460463,2022-05-13 05:23:59.966963
143,69.17845617450602,22.695767945124615,2022-05-13 05:28:59.966963
144,68.31759503684849,23.660411624636026,2022-05-13 05:33:59.967983
145,67.44268303303147,24.619248524118127,2022-05-13 05:38:59.967983
146,66.55299490404288,25.57195631022007,2022-05-13 05:43:59.969152
147,65.64778429196514,26.518197610016596,2022-05-13 05:48:59.969152
148,64.72628333674793,27.457619063546872,2022-05-13 05:53:59.970153
149,63.78770247181312,28.389850412982593,2022-05-13 05:58:59.970153
150,62.831230328361315,29.314503491640718,2022-05-13 06:03:59.971165
151,61.8560338912401,30.23117124837371,2022-05-13 06:08:59.971165
152,60.86125883243996,31.139426679336065,2022-05-13 06:13:59.972197
153,59.84603017080161,32.03882180387321,2022-05-13 06:18:59.972197
154,58.80945319359478,32.928886556336536,2022-05-13 06:23:59.973153
155,57.750614797640296,33.80912773532292,2022-05-13 06:28:59.973153
156,56.66858519982905,34.67902788697812,2022-05-13 06:33:59.974153
157,55.56242018043669,35.53804426496133,2022-05-13 06:38:59.974153
158,54.43116382277928,36.38560774815736,2022-05-13 06:43:59.975153
159,53.27385192273563,37.22112186762471,2022-05-13 06:48:59.975153
160,52.089516040995505,38.043961825128754,2022-05-13 06:53:59.976153
161,50.87718837835297,38.85347366431031,2022-05-13 06:58:59.976153
162,49.63590745452558,39.64897348149551,2022-05-13 07:03:59.977168
163,48.364724770887904,40.42974684734354,2022-05-13 07:08:59.977168
164,47.062712437411705,41.195048331184154,2022-05-13 07:13:59.978198
165,45.72897193422449,41.94410131164361,2022-05-13 07:18:59.978198
166,44.362643974185175,42.676097969006285,2022-05-13 07:23:59.979386
167,42.96291961216659,43.390199659755645,2022-05-13 07:28:59.979386
168,41.5290525291318,44.08553756310119,2022-05-13 07:33:59.980414
169,40.06037258990577,44.76121381965456,2022-05-13 07:38:59.980414
170,38.55630054465095,45.416303055396945,2022-05-13 07:43:59.981388
171,37.01636388130717,46.049854504457706,2022-05-13 07:48:59.981388
172,35.440213616712924,46.66089463533219,2022-05-13 07:53:59.982406
173,33.82764190923669,47.24843048382171,2022-05-13 07:58:59.982406
174,32.17860015895323,47.81145358746409,2022-05-13 08:03:59.983406
175,30.49321732869717,48.34894471383824,2022-05-13 08:08:59.983406
176,28.771818006617963,48.85987925207984,2022-05-13 08:13:59.984387
177,27.014939779217116,49.343233431474275,2022-05-13 08:18:59.984387
178,25.22334929546227,49.79799119975146,2022-05-13 08:23:59.985388
179,23.398056446919327,50.22315187977075,2022-05-13 08:28:59.985388
180,21.540325949993502,50.617738383088216,2022-05-13 08:33:59.986432
181,19.651685682913524,50.9808060449479,2022-05-13 08:38:59.986432
182,17.733931068837705,51.31145179140394,2022-05-13 08:43:59.987406
183,15.789124910648752,51.60882364363682,2022-05-13 08:48:59.987406
184,13.819592125672756,51.872130210146466,2022-05-13 08:53:59.988387
185,11.827909001205796,52.10065011254687,2022-05-13 08:58:59.988387
186,9.816886747127427,52.293740954995094,2022-05-13 09:03:59.989561
187,7.789549341290382,52.45084775911515,2022-05-13 09:08:59.989561
188,5.749105908906444,52.571510450885,2022-05-13 09:13:59.990601
189,3.6989180999231905,52.655370349047324,2022-05-13 09:18:59.990601
190,1.6424632102106216,52.70217527349594,2022-05-13 09:23:59.991622
191,359.58329395451335,52.71178327328625,2022-05-13 09:28:59.991622
192,357.5249960456232,52.684164684810526,2022-05-13 09:33:59.992629
193,355.47114476897,52.61940260978344,2022-05-13 09:38:59.992629
194,353.4252618964315,52.51769163808044,2022-05-13 09:43:59.993632
195,351.39077415029067,52.37933501610142,2022-05-13 09:48:59.993632
196,349.37097447210124,52.204740202943476,2022-05-13 09:53:59.994581
197,347.36898705824683,51.994413114963656,2022-05-13 09:58:59.994581
198,345.3877370825429,51.74895109780069,2022-05-13 10:03:59.995561
199,343.4299256268597,51.46903498968659,2022-05-13 10:08:59.995561
200,341.4980102749952,51.15542036797745,2022-05-13 10:13:59.996561
201,339.59419138563226,50.80892836582257,2022-05-13 10:18:59.996561
202,337.720404043025,50.430436152786754,2022-05-13 10:23:59.997561
203,335.8783152644645,50.02086744623646,2022-05-13 10:28:59.997561
204,334.0693261206244,49.581183113324926,2022-05-13 10:33:59.998582
205,332.29457806280584,49.11237217793437,2022-05-13 10:38:59.998582
206,330.5549629367151,48.61544323653671,2022-05-13 10:43:59.999727
207,328.85113585785734,48.09141653518616,2022-05-13 10:48:59.999727
208,327.17802793367605,47.53944443527719,2022-05-13 10:54:00.000728
209,325.5469945146379,46.964211845863645,2022-05-13 10:59:00.000728
210,323.952453180549,46.36494609151822,2022-05-13 11:04:00.001728
211,322.3942764145511,45.742648316141576,2022-05-13 11:09:00.001728
212,320.8721862758724,45.09830217153914,2022-05-13 11:14:00.002794
213,319.385772267387,44.432870203203706,2022-05-13 11:19:00.003797
214,317.9345085961777,43.74729085242128,2022-05-13 11:24:00.003797
215,316.5177705457065,43.04247606853444,2022-05-13 11:29:00.004728
216,315.1348497527729,42.31930950532604,2022-05-13 11:34:00.004728
217,313.7849684020264,41.57864516246172,2022-05-13 11:39:00.005728
218,312.4672921323129,40.82130651726157,2022-05-13 11:44:00.005728
219,311.180941793364,40.048085986226155,2022-05-13 11:49:00.006733
220,309.9250039068327,39.2597447688973,2022-05-13 11:54:00.006733
221,308.69854003262947,38.457012920046424,2022-05-13 11:59:00.007769
222,307.5005949323198,37.640589708541974,2022-05-13 12:04:00.007769
223,306.33020376426924,36.81114411917631,2022-05-13 12:09:00.008790
224,305.1863982208047,35.96931556131383,2022-05-13 12:14:00.009109
225,304.068211840212,35.11571466065836,2022-05-13 12:19:00.009109
226,302.9746844685061,34.25092416901063,2022-05-13 12:24:00.010110
227,301.9048659714831,33.37549995391066,2022-05-13 12:29:00.010110
228,300.8578193485518,32.48997200656678,2022-05-13 12:34:00.011108
229,299.832623185398,31.594845525225278,2022-05-13 12:39:00.011108
230,298.82837367247896,30.69060197235241,2022-05-13 12:44:00.012160
231,297.84418609464433,29.777700178412065,2022-05-13 12:49:00.013109
232,296.87919598105964,28.85657741171944,2022-05-13 12:54:00.013109
233,295.9325599082943,27.927650438575064,2022-05-13 12:59:00.014109
234,295.0034559634526,26.99131658675355,2022-05-13 13:04:00.014109
235,294.0910840284762,26.04795474726603,2022-05-13 13:09:00.015128
236,293.1946657754015,25.097926384899676,2022-05-13 13:14:00.016111
237,292.31344453613497,24.141576489468353,2022-05-13 13:19:00.017112
238,291.4466849934453,23.179234506948713,2022-05-13 13:24:00.018113
239,290.593672751907,22.21121523273653,2022-05-13 13:29:00.019226
240,289.75371380073926,21.23781967139526,2022-05-13 13:34:00.020227
241,288.92613389637,20.259335858709782,2022-05-13 13:39:00.021235
242,288.1102778698497,19.276039651676708,2022-05-13 13:44:00.022228
243,287.30550888197007,18.288195482939077,2022-05-13 13:49:00.023230
244,286.51120762859307,17.296057084877024,2022-05-13 13:54:00.023230
245,285.72677153679797,16.299868170778964,2022-05-13 13:59:00.024247
246,284.9516138870217,15.299863107154332,2022-05-13 14:04:00.025228
247,284.18516296105906,14.296267536869053,2022-05-13 14:09:00.025228
248,283.42686117526443,13.28929897573921,2022-05-13 14:14:00.026246
249,282.6761641635434,12.279167401192266,2022-05-13 14:19:00.027227
250,281.9325398989813,11.26607579733372,2022-05-13 14:24:00.027227
251,281.19546781152667,10.250220678182693,2022-05-13 14:29:00.028227
252,280.46443786466955,9.231792607044559,2022-05-13 14:34:00.029246
253,279.7389496764579,8.210976677784128,2022-05-13 14:39:00.029590
254,279.01851163075787,7.187952983253341,2022-05-13 14:44:00.029590
255,278.30263998749433,6.162897068779895,2022-05-13 14:49:00.030590
256,277.59085797976707,5.13598037719161,2022-05-13 14:54:00.031595
257,276.8826949395655,4.107370669501928,2022-05-13 14:59:00.031595
258,276.17768542803304,3.0772324327010505,2022-05-13 15:04:00.032591
259,275.4753683239429,2.04572729456749,2022-05-13 15:09:00.033591
260,274.7752859532158,1.0130144125838032,2022-05-13 15:14:00.033591
261,274.07698321628084,-0.02074914421932983,2022-05-13 15:19:00.034599
262,273.38000666452547,-1.0554080001565713,2022-05-13 15:24:00.034599
263,272.6839036413124,-2.090808110268126,2022-05-13 15:29:00.035592
264,271.98822134510783,-3.1267963721171674,2022-05-13 15:34:00.036610
265,271.29250592886456,-4.163220257206276,2022-05-13 15:39:00.036610
266,270.5963015884549,-5.199927442279859,2022-05-13 15:44:00.037590
267,269.8991495892838,-6.236765419809699,2022-05-13 15:49:00.037590
268,269.2005873460117,-7.273581132592438,2022-05-13 15:54:00.038616
269,268.5001474080042,-8.310220573446037,2022-05-13 15:59:00.038616
270,267.79735649896475,-9.346528408038385,2022-05-13 16:04:00.039655
271,267.09173445622054,-10.38234755919102,2022-05-13 16:09:00.040041
272,266.3827932066689,-11.417518805925795,2022-05-13 16:14:00.040041
273,265.6700356817216,-12.451880357998109,2022-05-13 16:19:00.041066
274,264.9529546809361,-13.48526740892414,2022-05-13 16:24:00.041066
275,264.231031757593,-14.51751169528917,2022-05-13 16:29:00.042041
276,263.5037359913892,-15.548441008340673,2022-05-13 16:34:00.042041
277,262.7705227959403,-16.577878714656926,2022-05-13 16:39:00.043062
278,262.030832605712,-17.605643223492642,2022-05-13 16:44:00.043062
279,261.2840895940635,-18.63154745886489,2022-05-13 16:49:00.044041
280,260.52970026438027,-19.655398272416235,2022-05-13 16:54:00.044041
281,259.76705206809123,-20.676995855593663,2022-05-13 16:59:00.045071
282,258.9955118920966,-21.696133086619877,2022-05-13 17:04:00.045071
283,258.21442457273736,-22.7125948716693,2022-05-13 17:09:00.046106
284,257.4231112792129,-23.726157414813823,2022-05-13 17:14:00.047042
285,256.6208678971684,-24.736587464932445,2022-05-13 17:19:00.047042
286,255.80696335579665,-25.743641512970594,2022-05-13 17:24:00.048042
287,254.98063785919152,-26.747064918645318,2022-05-13 17:29:00.048042
