RA,DEC,obs_time
0.007683812031905037,-0.017266639252716123,2022-05-12 13:19:58.221
0.007694720339730001,-0.01727100257584611,2022-05-12 13:24:58.221
0.007705628647554965,-0.017275850712657206,2022-05-12 13:29:58.221
0.007716536955379929,-0.01728021403578719,2022-05-12 13:34:58.221
0.007727445263204894,-0.017284577358917176,2022-05-12 13:39:58.221
0.007738353571029858,-0.017288940682047164,2022-05-12 13:44:58.221
0.007748534658333159,-0.017293788818858256,2022-05-12 13:49:58.221
0.007759442966158123,-0.017298152141988245,2022-05-12 13:54:58.221
0.007770351273983088,-0.01730251546511823,2022-05-12 13:59:58.221
0.007781259581808052,-0.017306878788248214,2022-05-12 14:04:58.221
0.0077921678896330174,-0.0173112421113782,2022-05-12 14:09:58.221
0.007803076197457981,-0.017316090248189298,2022-05-12 14:14:58.221
0.007813984505282947,-0.017320453571319283,2022-05-12 14:19:58.221
0.00782489281310791,-0.017324816894449268,2022-05-12 14:24:58.221
0.007835801120932876,-0.017329180217579256,2022-05-12 14:29:58.221
0.00784670942875784,-0.01733354354070924,2022-05-12 14:34:58.221
0.007857617736582804,-0.017338391677520333,2022-05-12 14:39:58.221
0.007867798823886104,-0.01734275500065032,2022-05-12 14:44:58.221
0.00787870713171107,-0.017347118323780306,2022-05-12 14:49:58.221
0.007889615439536033,-0.01735148164691029,2022-05-12 14:54:58.221
0.007900523747360999,-0.01735632978372139,2022-05-12 14:59:58.221
0.007911432055185963,-0.017360693106851375,2022-05-12 15:04:58.221
0.007922340363010927,-0.01736505642998136,2022-05-12 15:09:58.221
0.007933248670835892,-0.017369419753111348,2022-05-12 15:14:58.221
0.007944156978660856,-0.017373783076241333,2022-05-12 15:19:58.221
0.007954338065964156,-0.017378631213052425,2022-05-12 15:24:58.221
0.007965246373789122,-0.017382994536182413,2022-05-12 15:29:58.221
0.007976154681614086,-0.017387357859312398,2022-05-12 15:34:58.221
0.00798706298943905,-0.017391721182442383,2022-05-12 15:39:58.221
0.007997971297264015,-0.017396084505572368,2022-05-12 15:44:58.221
0.00800887960508898,-0.017400932642383467,2022-05-12 15:49:58.221
0.008019787912913945,-0.01740529596551345,2022-05-12 15:54:58.221
0.008029969000217244,-0.017409659288643436,2022-05-12 15:59:58.221
0.00804087730804221,-0.017414022611773425,2022-05-12 16:04:58.221
0.008051785615867174,-0.01741838593490341,2022-05-12 16:09:58.221
0.00806269392369214,-0.017423234071714505,2022-05-12 16:14:58.221
0.008073602231517103,-0.01742759739484449,2022-05-12 16:19:58.221
0.008083783318820403,-0.017431960717974475,2022-05-12 16:24:58.221
0.008094691626645369,-0.01743632404110446,2022-05-12 16:29:58.221
0.008105599934470333,-0.01744117217791556,2022-05-12 16:34:58.221
0.008116508242295296,-0.017445535501045543,2022-05-12 16:39:58.221
0.008127416550120262,-0.01744989882417553,2022-05-12 16:44:58.221
0.008137597637423562,0.017452322892581074,2022-05-12 16:49:58.221
0.008148505945248527,0.01744795956945109,2022-05-12 16:54:58.221
0.008159414253073491,0.017443111432639994,2022-05-12 16:59:58.221
0.008170322560898455,0.01743874810951001,2022-05-12 17:04:58.221
0.008181230868723419,0.01743438478638002,2022-05-12 17:09:58.221
0.00819141195602672,0.017430021463250036,2022-05-12 17:14:58.221
0.008202320263851684,0.01742565814012005,2022-05-12 17:19:58.221
0.008213228571676648,0.017420810003308956,2022-05-12 17:24:58.221
0.008224136879501614,0.01741644668017897,2022-05-12 17:29:58.221
0.008234317966804914,0.017412083357048986,2022-05-12 17:34:58.221
0.00824522627462988,0.017407720033918998,2022-05-12 17:39:58.221
0.008256134582454843,0.017403356710789013,2022-05-12 17:44:58.221
0.008266315669758143,0.017398508573977917,2022-05-12 17:49:58.221
0.008277223977583107,0.017394145250847932,2022-05-12 17:54:58.221
0.008288132285408072,0.017389781927717944,2022-05-12 17:59:58.221
0.008299040593233036,0.01738541860458796,2022-05-12 18:04:58.221
0.008309221680536336,0.017381055281457974,2022-05-12 18:09:58.221
0.008320129988361302,0.01737620714464688,2022-05-12 18:14:58.221
0.008331038296186267,0.017371843821516894,2022-05-12 18:19:58.221
0.008341219383489567,0.017367480498386906,2022-05-12 18:24:58.221
0.00835212769131453,0.01736311717525692,2022-05-12 18:29:58.221
0.008363035999139495,0.017358753852126936,2022-05-12 18:34:58.221
0.00837394430696446,0.01735390571531584,2022-05-12 18:39:58.221
0.00838412539426776,0.017349542392185852,2022-05-12 18:44:58.221
0.008395033702092726,0.017345179069055867,2022-05-12 18:49:58.221
0.00840594200991769,0.017340815745925883,2022-05-12 18:54:58.221
0.008416123097220991,0.017336452422795898,2022-05-12 18:59:58.221
0.008427031405045955,0.017331604285984802,2022-05-12 19:04:58.221
0.008437939712870919,0.017327240962854817,2022-05-12 19:09:58.221
0.00844812080017422,0.01732287763972483,2022-05-12 19:14:58.221
0.008459029107999184,0.017318514316594844,2022-05-12 19:19:58.221
0.008469937415824148,0.01731415099346486,2022-05-12 19:24:58.221
0.00848011850312745,0.01730930285665376,2022-05-12 19:29:58.221
0.008491026810952413,0.017304939533523776,2022-05-12 19:34:58.221
0.008501207898255713,0.01730057621039379,2022-05-12 19:39:58.221
0.008512116206080677,0.017296212887263806,2022-05-12 19:44:58.221
0.008523024513905643,0.017291849564133818,2022-05-12 19:49:58.221
0.008533205601208942,0.017287001427322726,2022-05-12 19:54:58.221
0.008544113909033908,0.017282638104192737,2022-05-12 19:59:58.221
0.008555022216858872,0.017278274781062752,2022-05-12 20:04:58.221
0.008565203304162173,0.017273911457932768,2022-05-12 20:09:58.221
0.008576111611987137,0.01726954813480278,2022-05-12 20:14:58.221
0.008586292699290437,0.017264699997991684,2022-05-12 20:19:58.221
0.0085972010071154,0.0172603366748617,2022-05-12 20:24:58.221
0.008608109314940366,0.017255973351731714,2022-05-12 20:29:58.221
0.008618290402243666,0.017251610028601726,2022-05-12 20:34:58.221
0.008629198710068632,0.01724724670547174,2022-05-12 20:39:58.221
